CustomerID,ProdTaken,Age,TypeofContact,CityTier,DurationOfPitch,Occupation,Gender,NumberOfPersonVisiting,NumberOfFollowups,ProductPitched,PreferredPropertyStar,MaritalStatus,NumberOfTrips,Passport,PitchSatisfactionScore,OwnCar,NumberOfChildrenVisiting,Designation,MonthlyIncome,AgeGroup
200000,1,41.0,Self Enquiry,3,6.0,Salaried,Female,3.0,3.0,Deluxe,3.0,Single,1.0,1,2,1,0.0,Manager,20993.0,36-45
200001,0,49.0,Company Invited,1,14.0,Salaried,Male,3.0,4.0,Deluxe,4.0,Divorced,2.0,0,3,1,2.0,Manager,20130.0,46-55
200002,1,37.0,Self Enquiry,1,8.0,Free Lancer,Male,3.0,4.0,Basic,3.0,Single,7.0,1,3,0,0.0,Executive,17090.0,36-45
200003,0,33.0,Company Invited,1,9.0,Salaried,Female,2.0,3.0,Basic,3.0,Divorced,2.0,1,5,1,1.0,Executive,17909.0,26-35
200004,0,36.0,Self Enquiry,1,8.0,Small Business,Male,2.0,3.0,Basic,4.0,Divorced,1.0,0,5,1,0.0,Executive,18468.0,36-45
200005,0,32.0,Company Invited,1,8.0,Salaried,Male,3.0,3.0,Basic,3.0,Single,1.0,0,5,1,1.0,Executive,18068.0,26-35
200006,0,59.0,Self Enquiry,1,9.0,Small Business,Female,2.0,2.0,Basic,5.0,Divorced,5.0,1,2,1,1.0,Executive,17670.0,56-65
200007,0,30.0,Self Enquiry,1,30.0,Salaried,Male,3.0,3.0,Basic,3.0,Married,2.0,0,2,0,1.0,Executive,17693.0,26-35
200008,0,38.0,Company Invited,1,29.0,Salaried,Male,2.0,4.0,Standard,3.0,Unmarried,1.0,0,3,0,0.0,Senior Manager,24526.0,36-45
200009,0,36.0,Self Enquiry,1,33.0,Small Business,Male,3.0,3.0,Deluxe,3.0,Divorced,7.0,0,3,1,0.0,Manager,20237.0,36-45
200010,0,35.0,Self Enquiry,1,22.0,Small Business,Male,2.0,2.0,Basic,4.0,Divorced,1.0,0,3,1,1.0,Executive,17426.0,26-35
200011,0,36.0,Self Enquiry,1,21.0,Salaried,Female,2.0,4.0,Deluxe,3.0,Single,1.0,1,3,0,0.0,Manager,22347.0,36-45
200012,0,31.0,Self Enquiry,1,32.0,Salaried,Male,2.0,3.0,Basic,3.0,Married,2.0,0,3,0,1.0,Executive,17911.0,26-35
200013,0,34.0,Self Enquiry,1,25.0,Small Business,Male,3.0,3.0,Basic,3.0,Married,1.0,0,3,0,2.0,Executive,17661.0,26-35
200014,1,28.0,Self Enquiry,1,30.0,Salaried,Male,2.0,4.0,Basic,3.0,Single,6.0,1,2,0,0.0,Executive,17028.0,26-35
200015,0,29.0,Self Enquiry,1,27.0,Salaried,Female,2.0,2.0,Standard,5.0,Married,2.0,0,5,1,1.0,Senior Manager,24980.0,26-35
200016,0,32.0,Self Enquiry,1,11.0,Salaried,Male,3.0,2.0,Basic,4.0,Married,1.0,1,2,1,0.0,Executive,18298.0,26-35
200017,0,22.0,Company Invited,1,22.0,Small Business,Male,3.0,2.0,Basic,3.0,Married,2.0,1,3,0,0.0,Executive,17935.0,18-25
200018,0,53.0,Self Enquiry,3,8.0,Salaried,Female,3.0,4.0,Super Deluxe,3.0,Divorced,3.0,0,3,1,0.0,AVP,30427.0,46-55
200019,0,36.0,Self Enquiry,1,8.0,Salaried,Male,2.0,3.0,Basic,3.0,Single,6.0,1,4,0,1.0,Executive,22347.0,36-45
200020,0,36.0,Company Invited,1,17.0,Salaried,Female,3.0,2.0,Deluxe,3.0,Married,1.0,0,3,1,2.0,Manager,22347.0,36-45
200021,1,36.0,Self Enquiry,3,15.0,Salaried,Male,2.0,4.0,Deluxe,5.0,Single,1.0,0,2,0,0.0,Manager,18407.0,36-45
200022,0,34.0,Self Enquiry,1,13.0,Salaried,Female,2.0,3.0,Standard,4.0,Unmarried,1.0,0,3,1,0.0,Senior Manager,26994.0,26-35
200023,0,21.0,Self Enquiry,1,21.0,Salaried,Male,3.0,3.0,Basic,3.0,Single,2.0,0,3,1,1.0,Executive,16232.0,18-25
200024,1,34.0,Self Enquiry,1,12.0,Small Business,Male,2.0,3.0,Basic,5.0,Single,3.0,0,2,1,1.0,Executive,17960.0,26-35
200025,0,53.0,Self Enquiry,1,11.0,Salaried,Female,2.0,3.0,King,3.0,Married,5.0,0,5,0,1.0,VP,32834.375,46-55
200026,1,36.0,Company Invited,1,22.0,Salaried,Female,3.0,5.0,Basic,5.0,Single,2.0,1,4,1,2.0,Executive,22347.0,36-45
200027,0,42.0,Self Enquiry,3,14.0,Small Business,Male,2.0,3.0,Deluxe,4.0,Divorced,1.0,0,3,0,1.0,Manager,21825.0,36-45
200028,0,44.0,Self Enquiry,1,13.0,Small Business,Female,2.0,4.0,Standard,3.0,Divorced,4.0,0,4,1,0.0,Senior Manager,25248.0,36-45
200029,0,46.0,Self Enquiry,3,8.0,Small Business,Female,2.0,3.0,King,5.0,Single,4.0,0,2,0,1.0,VP,32834.375,46-55
200030,0,33.0,Self Enquiry,1,8.0,Small Business,Male,3.0,3.0,Basic,3.0,Single,5.0,0,3,1,2.0,Executive,17496.0,26-35
200031,0,44.0,Self Enquiry,1,16.0,Salaried,Male,2.0,3.0,Deluxe,3.0,Divorced,3.0,1,3,1,1.0,Manager,21465.0,36-45
200032,0,30.0,Self Enquiry,1,15.0,Small Business,Male,2.0,4.0,Basic,3.0,Single,2.0,0,4,1,1.0,Executive,17206.0,26-35
200033,1,39.0,Self Enquiry,3,11.0,Large Business,Male,2.0,3.0,Deluxe,3.0,Divorced,4.0,0,2,0,1.0,Manager,17086.0,36-45
200034,1,24.0,Self Enquiry,1,6.0,Small Business,Male,3.0,3.0,Basic,3.0,Divorced,3.0,1,3,1,2.0,Executive,17293.0,18-25
200035,0,43.0,Self Enquiry,1,8.0,Small Business,Female,3.0,2.0,Basic,3.0,Married,2.0,0,2,0,1.0,Executive,17645.0,36-45
200036,1,50.0,Self Enquiry,3,9.0,Small Business,Male,2.0,4.0,Basic,3.0,Divorced,2.0,1,4,0,0.0,Executive,17683.0,46-55
200037,0,35.0,Self Enquiry,3,8.0,Small Business,Female,3.0,3.0,Basic,3.0,Divorced,2.0,0,2,1,0.0,Executive,17014.0,26-35
200038,0,36.0,Self Enquiry,1,11.0,Salaried,Female,2.0,4.0,Basic,3.0,Divorced,1.0,1,2,1,0.0,Executive,32834.375,36-45
200039,0,33.0,Company Invited,3,6.0,Salaried,Female,2.0,2.0,Deluxe,5.0,Divorced,3.0,0,3,1,0.0,Manager,20376.0,26-35
200040,0,35.0,Self Enquiry,1,10.0,Salaried,Male,3.0,3.0,Basic,3.0,Married,2.0,0,4,0,0.0,Executive,16951.0,26-35
200041,0,27.0,Self Enquiry,1,8.0,Salaried,Female,2.0,3.0,Basic,5.0,Married,2.0,0,3,0,1.0,Executive,17341.0,26-35
200042,1,26.0,Self Enquiry,1,31.0,Salaried,Male,2.0,5.0,Basic,3.0,Single,2.0,0,2,1,1.0,Executive,17293.0,26-35
200043,0,27.0,Company Invited,3,14.0,Salaried,Male,2.0,3.0,Standard,3.0,Unmarried,2.0,0,2,1,0.0,Senior Manager,23726.0,26-35
200044,0,36.0,Company Invited,1,6.0,Small Business,Female,2.0,3.0,Deluxe,3.0,Single,2.0,0,3,1,0.0,Manager,22347.0,36-45
200045,1,41.0,Self Enquiry,1,18.0,Large Business,Female,2.0,3.0,King,3.0,Divorced,2.0,0,4,1,0.0,VP,32834.375,36-45
200046,0,34.0,Company Invited,3,13.0,Small Business,Male,3.0,3.0,Deluxe,3.0,Single,1.0,0,5,1,1.0,Manager,19568.0,26-35
200047,0,37.0,Self Enquiry,1,25.0,Salaried,Male,3.0,3.0,Basic,4.0,Divorced,5.0,0,4,1,1.0,Executive,18022.0,36-45
200048,0,46.0,Company Invited,3,11.0,Small Business,Male,3.0,3.0,Deluxe,3.0,Single,5.0,1,5,1,1.0,Manager,20772.0,46-55
200049,0,35.0,Self Enquiry,1,14.0,Salaried,Male,2.0,2.0,Basic,3.0,Divorced,2.0,0,5,1,1.0,Executive,17269.0,26-35
200050,1,48.0,Self Enquiry,1,6.0,Salaried,Male,3.0,4.0,Standard,3.0,Single,1.0,1,5,0,2.0,Senior Manager,20381.0,46-55
200051,1,36.0,Self Enquiry,1,11.0,Large Business,Male,2.0,3.0,Basic,3.0,Single,2.0,1,2,1,0.0,Executive,18441.0,36-45
200052,0,44.0,Self Enquiry,3,6.0,Small Business,Female,3.0,3.0,Deluxe,5.0,Married,6.0,1,2,0,0.0,Manager,20454.0,36-45
200053,0,35.0,Company Invited,1,17.0,Small Business,Male,3.0,4.0,Standard,5.0,Divorced,3.0,1,5,1,1.0,Senior Manager,24884.0,26-35
